省份,学校名,城市,教育制,主管部门
北京,北京大学,北京市,本科,教育部
北京,中国人民大学,北京市,本科,教育部
北京,清华大学,北京市,本科,教育部
北京,北京交通大学,北京市,本科,教育部
北京,北京工业大学,北京市,本科,北京市
北京,北京航空航天大学,北京市,本科,国防科工委
北京,北京理工大学,北京市,本科,国防科工委
北京,北京科技大学,北京市,本科,教育部
北京,北方工业大学,北京市,本科,北京市
北京,北京化工大学,北京市,本科,教育部
北京,北京工商大学,北京市,本科,北京市
北京,北京服装学院,北京市,本科,北京市
北京,北京邮电大学,北京市,本科,教育部
北京,北京印刷学院,北京市,本科,北京市
北京,北京建筑大学,北京市,本科,北京市
北京,北京石油化工学院,北京市,本科,北京市
北京,北京电子科技学院,北京市,本科,中央办公厅
北京,中国农业大学,北京市,本科,教育部
北京,北京农学院,北京市,本科,北京市
北京,北京林业大学,北京市,本科,教育部
北京,北京协和医学院,北京市,本科,卫生部
北京,首都医科大学,北京市,本科,北京市
北京,北京中医药大学,北京市,本科,教育部
北京,北京师范大学,北京市,本科,教育部
北京,首都师范大学,北京市,本科,北京市
北京,首都体育学院,北京市,本科,北京市
北京,北京外国语大学,北京市,本科,教育部
北京,北京第二外国语学院,北京市,本科,北京市
北京,北京语言大学,北京市,本科,教育部
北京,中国传媒大学,北京市,本科,教育部
北京,中央财经大学,北京市,本科,教育部
北京,对外经济贸易大学,北京市,本科,教育部
北京,北京物资学院,北京市,本科,北京市
北京,首都经济贸易大学,北京市,本科,北京市
北京,外交学院,北京市,本科,外交部
北京,中国人民公安大学,北京市,本科,公安部
北京,国际关系学院,北京市,本科,教育部
北京,北京体育大学,北京市,本科,国家体育总局
北京,中央音乐学院,北京市,本科,教育部
北京,中国音乐学院,北京市,本科,北京市
北京,中央美术学院,北京市,本科,教育部
北京,中央戏剧学院,北京市,本科,教育部
北京,中国戏曲学院,北京市,本科,北京市
北京,北京电影学院,北京市,本科,北京市
北京,北京舞蹈学院,北京市,本科,北京市
北京,中央民族大学,北京市,本科,国家民委
北京,中国政法大学,北京市,本科,教育部
北京,华北电力大学,北京市,本科,教育部
北京,中华女子学院,北京市,本科,妇女联合会
北京,北京信息科技大学,北京市,本科,北京市
北京,中国矿业大学（北京）,北京市,本科,教育部
北京,中国石油大学（北京）,北京市,本科,教育部
北京,中国地质大学（北京）,北京市,本科,教育部
北京,北京联合大学,北京市,本科,北京市
北京,北京城市学院,北京市,本科,北京市教委
北京,中国青年政治学院,北京市,本科,共青团中央
北京,首钢工学院,北京市,本科,北京市
北京,中国劳动关系学院,北京市,本科,全国总工会
北京,北京吉利学院,北京市,本科,北京市教委
北京,北京工商大学嘉华学院,北京市,本科,北京市教委
北京,北京邮电大学世纪学院,北京市,本科,北京市教委
北京,北京警察学院,北京市,本科,北京市
北京,中国科学院大学,北京市,本科,中国科学院
北京,中国社会科学院大学,北京市,本科,中国社会科学院
北京,北京工业职业技术学院,北京市,专科,北京市
北京,北京信息职业技术学院,北京市,专科,北京市
北京,北京电子科技职业学院,北京市,专科,北京市
北京,北京京北职业技术学院,北京市,专科,北京市
北京,北京交通职业技术学院,北京市,专科,北京市
北京,北京青年政治学院,北京市,专科,北京市
北京,北京农业职业学院,北京市,专科,北京市
北京,北京政法职业学院,北京市,专科,北京市
北京,北京财贸职业学院,北京市,专科,北京市
北京,北京北大方正软件职业技术学院,北京市,专科,北京市教委
北京,北京经贸职业学院,北京市,专科,北京市教委
北京,北京经济技术职业学院,北京市,专科,北京市教委
北京,北京戏曲艺术职业学院,北京市,专科,北京市
北京,北京汇佳职业学院,北京市,专科,北京市教委
北京,北京科技经营管理学院,北京市,专科,北京市教委
北京,北京科技职业学院,北京市,专科,北京市教委
北京,北京培黎职业学院,北京市,专科,北京市教委
北京,北京经济管理职业学院,北京市,专科,北京市
北京,北京劳动保障职业学院,北京市,专科,北京市
北京,北京社会管理职业学院,北京市,专科,北京市
北京,北京艺术传媒职业学院,北京市,专科,北京市教委
北京,北京体育职业学院,北京市,专科,北京市
北京,北京交通运输职业学院,北京市,专科,北京市
北京,北京卫生职业学院,北京市,专科,北京市
北京,北京网络职业学院,北京市,专科,北京市教委
北京,北京邮电大学世纪学院,北京市,本科,北京市教委
北京,北京工商大学嘉华学院,北京市,本科,北京市教委
北京,北京城市学院,北京市,本科,北京市教委
北京,北京吉利学院,北京市,本科,北京市教委
北京,北京科技经营管理学院,北京市,专科,北京市教委
北京,北京经济技术职业学院,北京市,专科,北京市教委
北京,北京经贸职业学院,北京市,专科,北京市教委
北京,北京汇佳职业学院,北京市,专科,北京市教委
北京,北京科技职业学院,北京市,专科,北京市教委
北京,北京培黎职业学院,北京市,专科,北京市教委
北京,北京北大方正软件职业技术学院,北京市,专科,北京市教委
北京,北京艺术传媒职业学院,北京市,专科,北京市教委
北京,北京网络职业学院,北京市,专科,北京市教委
天津,南开大学,天津市,本科,教育部
天津,天津大学,天津市,本科,教育部
天津,天津科技大学,天津市,本科,天津市
天津,天津工业大学,天津市,本科,天津市
天津,中国民航大学,天津市,本科,交通运输部
天津,天津理工大学,天津市,本科,天津市
天津,天津农学院,天津市,本科,天津市
天津,天津医科大学,天津市,本科,天津市
天津,天津中医药大学,天津市,本科,天津市
天津,天津师范大学,天津市,本科,天津市
天津,天津职业技术师范大学,天津市,本科,天津市
天津,天津外国语大学,天津市,本科,天津市
天津,天津商业大学,天津市,本科,天津市
天津,天津财经大学,天津市,本科,天津市
天津,天津体育学院,天津市,本科,天津市
天津,天津音乐学院,天津市,本科,天津市
天津,天津美术学院,天津市,本科,天津市
天津,天津城建大学,天津市,本科,天津市
天津,天津天狮学院,天津市,本科,天津市教委
天津,天津中德应用技术大学,天津市,本科,天津市
天津,天津外国语学院滨海外事学院,天津市,本科,天津市教委
天津,天津商业大学宝德学院,天津市,本科,天津市教委
天津,天津医科大学临床医学院,天津市,本科,天津市教委
天津,南开大学滨海学院,天津市,本科,天津市教委
天津,天津师范大学津沽学院,天津市,本科,天津市教委
天津,天津理工大学中环信息学院,天津市,本科,天津市教委
天津,北京科技大学天津学院,天津市,本科,天津市教委
天津,天津大学仁爱学院,天津市,本科,天津市教委
天津,天津财经大学珠江学院,天津市,本科,天津市教委
天津,天津职业大学,天津市,专科,天津市
天津,天津滨海职业学院,天津市,专科,天津市
天津,天津工程职业技术学院,天津市,专科,天津市
天津,天津青年职业学院,天津市,专科,天津市
天津,天津渤海职业技术学院,天津市,专科,天津市
天津,天津电子信息职业技术学院,天津市,专科,天津市
天津,天津机电职业技术学院,天津市,专科,天津市
天津,天津现代职业技术学院,天津市,专科,天津市
天津,天津公安警官职业学院,天津市,专科,天津市
天津,天津轻工职业技术学院,天津市,专科,天津市
天津,天津商务职业学院,天津市,专科,天津市
天津,天津国土资源和房屋职业学院,天津市,专科,天津市
天津,天津医学高等专科学校,天津市,专科,天津市
天津,天津开发区职业技术学院,天津市,专科,天津市
天津,天津艺术职业学院,天津市,专科,天津市
天津,天津交通职业学院,天津市,专科,天津市
天津,天津冶金职业技术学院,天津市,专科,天津市
天津,天津石油职业技术学院,天津市,专科,天津市
天津,天津城市职业学院,天津市,专科,天津市
天津,天津铁道职业技术学院,天津市,专科,天津市
天津,天津工艺美术职业学院,天津市,专科,天津市
天津,天津城市建设管理职业技术学院,天津市,专科,天津市
天津,天津生物工程职业技术学院,天津市,专科,天津市
天津,天津海运职业学院,天津市,专科,天津市
天津,天津广播影视职业学院,天津市,专科,天津市
天津,天津体育职业学院,天津市,专科,天津市
天津,天津滨海汽车工程职业学院,天津市,专科,天津市教委
天津,天津外国语学院滨海外事学院,天津市,本科,天津市教委
天津,天津体育学院运动与文化艺术学院,天津市,本科,天津市教委
天津,天津商业大学宝德学院,天津市,本科,天津市教委
天津,天津医科大学临床医学院,天津市,本科,天津市教委
天津,南开大学滨海学院,天津市,本科,天津市教委
天津,天津师范大学津沽学院,天津市,本科,天津市教委
天津,天津理工大学中环信息学院,天津市,本科,天津市教委
天津,北京科技大学天津学院,天津市,本科,天津市教委
天津,天津大学仁爱学院,天津市,本科,天津市教委
天津,天津财经大学珠江学院,天津市,本科,天津市教委
天津,天津天狮学院,天津市,本科,天津市教委
天津,天津滨海汽车工程职业学院,天津市,专科,天津市教委
河北,河北大学,保定市,本科,河北省
河北,河北工程大学,邯郸市,本科,河北省
河北,河北地质大学,石家庄,本科,河北省
河北,河北工业大学,天津市,本科,河北省
河北,华北理工大学,唐山市,本科,河北省
河北,河北科技大学,石家庄,本科,河北省
河北,河北建筑工程学院,张家口,本科,河北省
河北,河北水利电力学院,沧州市,本科,河北省
河北,河北农业大学,保定市,本科,河北省
河北,河北医科大学,石家庄,本科,河北省
河北,河北北方学院,张家口,本科,河北省
河北,承德医学院,承德市,本科,河北省
河北,河北师范大学,石家庄,本科,河北省
河北,保定学院,保定市,本科,河北省
河北,河北民族师范学院,承德市,本科,河北省
河北,唐山师范学院,唐山市,本科,河北省
河北,廊坊师范学院,廊坊市,本科,河北省
河北,衡水学院,衡水市,本科,河北省
河北,石家庄学院,石家庄,本科,河北省
河北,邯郸学院,邯郸市,本科,河北省
河北,邢台学院,邢台市,本科,河北省
河北,沧州师范学院,沧州市,本科,河北省
河北,石家庄铁道大学,石家庄,本科,河北省
河北,燕山大学,秦皇岛,本科,河北省
河北,河北科技师范学院,秦皇岛,本科,河北省
河北,唐山学院,唐山市,本科,河北省
河北,华北科技学院,三河市,本科,国家安监总局
河北,中国人民警察大学,廊坊市,本科,公安部
河北,河北体育学院,石家庄,本科,河北省
河北,河北金融学院,保定市,本科,河北省
河北,北华航天工业学院,廊坊市,本科,河北省
河北,防灾科技学院,三河市,本科,中国地震局
河北,河北经贸大学,石家庄,本科,河北省
河北,中央司法警官学院,保定市,本科,司法部
河北,河北传媒学院,石家庄,本科,河北省教育厅
河北,河北工程技术学院,石家庄,本科,河北省教育厅
河北,河北美术学院,石家庄,本科,河北省教育厅
河北,河北科技学院,保定市,本科,河北省教育厅
河北,河北外国语学院,石家庄,本科,河北省教育厅
河北,河北大学工商学院,保定市,本科,河北省教育厅
河北,河北科技大学理工学院,石家庄,本科,河北省教育厅
河北,河北师范大学汇华学院,石家庄,本科,河北省教育厅
河北,河北经贸大学经济管理学院,石家庄,本科,河北省教育厅
河北,河北医科大学临床学院,石家庄,本科,河北省教育厅
河北,华北电力大学科技学院,保定市,本科,河北省教育厅
河北,河北工程大学科信学院,邯郸市,本科,河北省教育厅
河北,河北工业大学城市学院,天津市,本科,河北省教育厅
河北,燕山大学里仁学院,秦皇岛,本科,河北省教育厅
河北,石家庄铁道大学四方学院,石家庄,本科,河北省教育厅
河北,河北地质大学华信学院,石家庄,本科,河北省教育厅
河北,河北农业大学现代科技学院,保定市,本科,河北省教育厅
河北,华北理工大学冀唐学院,唐山市,本科,河北省教育厅
河北,中国地质大学长城学院,保定市,本科,河北省教育厅
河北,燕京理工学院,京东燕郊,本科,河北省教育厅
河北,北京中医药大学东方学院,廊坊市,本科,河北省教育厅
河北,北京交通大学海滨学院,黄骅市,本科,河北省教育厅
河北,河北东方学院,廊坊市,本科,河北省教育厅
河北,河北中医学院,石家庄,本科,河北省
河北,张家口学院,张家口,本科,河北省
河北,河北环境工程学院,秦皇岛市,本科,河北省
河北,河北工业职业技术学院,石家庄,专科,河北省
河北,邯郸职业技术学院,邯郸市,专科,河北省
河北,石家庄职业技术学院,石家庄,专科,河北省
河北,张家口职业技术学院,张家口,专科,河北省
河北,承德石油高等专科学校,承德市,专科,河北省
河北,邢台职业技术学院,邢台市,专科,河北省
河北,河北软件职业技术学院,保定市,专科,河北省
河北,河北石油职业技术学院,廊坊市,专科,河北省
河北,河北建材职业技术学院,秦皇岛,专科,河北省
河北,河北政法职业学院,石家庄,专科,河北省
河北,沧州职业技术学院,沧州市,专科,河北省
河北,河北能源职业技术学院,唐山市,专科,河北省
河北,石家庄铁路职业技术学院,石家庄,专科,河北省
河北,保定职业技术学院,保定市,专科,河北省
河北,秦皇岛职业技术学院,秦皇岛,专科,河北省
河北,石家庄工程职业学院,石家庄,专科,河北省教育厅
河北,石家庄城市经济职业学院,石家庄,专科,河北省教育厅
河北,唐山职业技术学院,唐山市,专科,河北省
河北,衡水职业技术学院,衡水市,专科,河北省
河北,唐山工业职业技术学院,唐山市,专科,河北省
河北,邢台医学高等专科学校,邢台市,专科,河北省
河北,河北艺术职业学院,石家庄,专科,河北省
河北,河北旅游职业学院,承德市,专科,河北省
河北,石家庄财经职业学院,石家庄,专科,河北省教育厅
河北,河北交通职业技术学院,石家庄,专科,河北省
河北,河北化工医药职业技术学院,石家庄,专科,河北省
河北,石家庄信息工程职业学院,石家庄,专科,河北省
河北,河北对外经贸职业学院,秦皇岛,专科,河北省
河北,保定电力职业技术学院,保定市,专科,河北省
河北,河北机电职业技术学院,邢台市,专科,河北省
河北,渤海石油职业学院,河北省,专科,河北省
河北,廊坊职业技术学院,廊坊市,专科,河北省
河北,唐山科技职业技术学院,唐山市,专科,河北省
河北,石家庄邮电职业技术学院,石家庄,专科,河北省
河北,河北公安警察职业学院,石家庄,专科,河北省
河北,石家庄工商职业学院,石家庄,专科,河北省教育厅
河北,石家庄理工职业学院,石家庄,专科,河北省教育厅
河北,石家庄科技信息职业学院,石家庄,专科,河北省教育厅
河北,河北司法警官职业学院,邯郸市,专科,河北省
河北,沧州医学高等专科学校,沧州市,专科,河北省
河北,河北女子职业技术学院,石家庄,专科,河北省
河北,石家庄医学高等专科学校,石家庄,专科,河北省教育厅
河北,石家庄经济职业学院,石家庄,专科,河北省教育厅
河北,冀中职业学院,定州市,专科,河北省
河北,石家庄人民医学高等专科学校,石家庄,专科,河北省教育厅
河北,石家庄科技工程职业学院,石家庄,专科,河北省
河北,河北劳动关系职业学院,邯郸市,专科,河北省
河北,石家庄科技职业学院,石家庄,专科,河北省教育厅
河北,泊头职业学院,泊头市,专科,河北省
河北,宣化科技职业学院,张家口,专科,河北省
河北,廊坊燕京职业技术学院,廊坊市,专科,河北省
河北,承德护理职业学院,承德市,专科,河北省
河北,石家庄幼儿师范高等专科学校,石家庄,专科,河北省
河北,廊坊卫生职业学院,廊坊市,专科,河北省
河北,河北轨道运输职业技术学院,石家庄,专科,河北省
河北,保定幼儿师范高等专科学校,涿州市,专科,河北省
河北,河北工艺美术职业学院,保定市,专科,河北省
河北,渤海理工职业学院,黄骅市,专科,河北省教育厅
河北,唐山幼儿师范高等专科学校,唐山市,专科,河北省
河北,曹妃甸职业技术学院,唐山市,专科,河北省教育厅
河北,河北工程大学科信学院,邯郸市,本科,河北省教育厅
河北,华北电力大学科技学院,保定市,本科,河北省教育厅
河北,河北科技大学理工学院,石家庄,本科,河北省教育厅
河北,河北大学工商学院,保定市,本科,河北省教育厅
河北,河北师范大学汇华学院,石家庄,本科,河北省教育厅
河北,河北医科大学临床学院,石家庄,本科,河北省教育厅
河北,河北经贸大学经济管理学院,石家庄,本科,河北省教育厅
河北,河北工业大学城市学院,天津市,本科,河北省教育厅
河北,燕山大学里仁学院,秦皇岛,本科,河北省教育厅
河北,石家庄铁道大学四方学院,石家庄,本科,河北省教育厅
河北,河北地质大学华信学院,石家庄,本科,河北省教育厅
河北,河北农业大学现代科技学院,保定市,本科,河北省教育厅
河北,华北理工大学冀唐学院,唐山市,本科,河北省教育厅
河北,中国地质大学长城学院,保定市,本科,河北省教育厅
河北,北京中医药大学东方学院,廊坊市,本科,河北省教育厅
河北,北京交通大学海滨学院,黄骅市,本科,河北省教育厅
河北,河北传媒学院,石家庄,本科,河北省教育厅
河北,河北科技学院,保定市,本科,河北省教育厅
河北,河北美术学院,石家庄,本科,河北省教育厅
河北,河北外国语学院,石家庄,本科,河北省教育厅
河北,燕京理工学院,京东燕郊,本科,河北省教育厅
河北,河北工程技术学院,石家庄,本科,河北省教育厅
河北,河北东方学院,廊坊市,本科,河北省教育厅
河北,石家庄医学高等专科学校,石家庄,专科,河北省教育厅
河北,石家庄工程职业学院,石家庄,专科,河北省教育厅
河北,石家庄财经职业学院,石家庄,专科,河北省教育厅
河北,石家庄科技信息职业学院,石家庄,专科,河北省教育厅
河北,石家庄城市经济职业学院,石家庄,专科,河北省教育厅
河北,石家庄工商职业学院,石家庄,专科,河北省教育厅
河北,石家庄经济职业学院,石家庄,专科,河北省教育厅
河北,石家庄人民医学高等专科学校,石家庄,专科,河北省教育厅
河北,石家庄科技职业学院,石家庄,专科,河北省教育厅
